TITLE,Taq temp test HEPES 10-28-2020,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,20/10/28,,
TIME,20:38:32,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [mdeg],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,300,,
LASTX,190,,
NPOINTS,1101,,
FIRSTY,0.69182,,
MAXY,1.20277,,
MINY,-4.83543,,
XYDATA,,,
238.4,-0.677172,266.471,0.898581
238.3,-0.718363,266.564,0.899665
238.2,-0.835718,266.666,0.900855
238.1,-0.922059,266.737,0.901692
238,-0.895087,266.821,0.902666
237.9,-0.865441,266.901,0.903595
237.8,-1.02311,266.974,0.904445
237.7,-0.917648,267.066,0.90552
237.6,-0.834468,267.159,0.906604
237.5,-0.823995,267.255,0.907719
237.4,-0.908714,267.352,0.90885
237.3,-0.852287,267.465,0.910167
237.2,-0.902117,267.544,0.911088
237.1,-0.905647,267.65,0.912321
237,-0.795425,267.742,0.913392
236.9,-0.898547,267.854,0.914694
236.8,-0.940939,267.972,0.916063
236.7,-1.07505,268.076,0.917275
236.6,-1.08821,268.217,0.918905
236.5,-1.14346,268.29,0.919755
236.4,-1.15899,268.387,0.92088
236.3,-1.21633,268.516,0.922382
236.2,-1.2381,268.639,0.923808
236.1,-1.20993,268.737,0.924941
236,-1.23591,268.852,0.926273
235.9,-1.17987,268.946,0.927363
235.8,-1.25666,269.078,0.928895
235.7,-1.29031,269.205,0.930362
235.6,-1.24074,269.35,0.932037
235.5,-1.26806,269.447,0.933163
235.4,-1.19208,269.554,0.934404
235.3,-1.2676,269.689,0.935962
235.2,-1.26217,269.835,0.937653
235.1,-1.23391,269.954,0.939023
235,-1.20476,270.055,0.940194
234.9,-1.19836,270.172,0.941543
234.8,-1.18105,270.32,0.943246
234.7,-1.30365,270.449,0.944736
234.6,-1.35756,270.589,0.946354
234.5,-1.40481,270.708,0.947726
234.4,-1.49172,270.884,0.949749
