TITLE,KMGM_BUFFER&PROTEIN_928_Averages
DATA TYPE,
ORIGIN,JASCO
OWNER,
DATE,22/09/28
TIME,15:18:43
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,-0.1
XUNITS,NANOMETERS
YUNITS,CD [mdeg]
Y2UNITS,HT [V]
Y3UNITS,ABSORBANCE
FIRSTX,320
LASTX,190
NPOINTS,1301
FIRSTY,1.27862
MAXY,49.95761
MINY,-56.57431
XYDATA,
206.6,-49.45117667
206.5,-49.80757333
206.4,-45.153445
206.3,-49.65739666
206.2,-46.79559267
206.1,-41.84842
206,-44.22513267
205.9,-39.95079467
205.8,-44.37139333
205.7,-46.63311333
205.6,-42.23390334
205.5,-35.29631
205.4,-36.68035634
205.3,-42.57034653
205.2,-40.370696
205.1,-32.86994
205,-34.529996
204.9,-38.30069234
204.8,-33.02628467
204.7,-39.16369366
204.6,-33.51375233
204.5,-34.38091167
204.4,-27.40829
204.3,-31.04194767
204.2,-26.91493067
204.1,-27.38025767
204,-32.71109333
203.9,-25.59615423
203.8,-21.41363666
203.7,-24.050064
203.6,-28.56298444
203.5,-22.57248166
203.4,-15.11787207
203.3,-20.384532
203.2,-17.885771
203.1,-21.74494067
203,-18.66547
202.9,-17.31862166
202.8,-12.217092
202.7,-14.51737733
202.6,-11.60686334
202.5,-8.039616666
202.4,-12.091168
202.3,-12.66504
202.2,-4.939407333
202.1,-7.383063333
202,-8.077183333
201.9,-4.290203333
201.8,-1.994739667
201.7,-2.179836667
201.6,-3.520243333
201.5,5.029705
201.4,-0.3500183333
201.3,4.717719
201.2,0.330706667
201.1,1.439627333
201,9.474585333
200.9,7.85366
200.8,14.60692333
200.7,12.47173967
200.6,11.58429233
200.5,8.193561
200.4,6.329766666
200.3,12.77564333
200.2,11.42544
200.1,26.02413466
200,19.42472633
199.9,15.91739836
