TITLE,CC.SJ.9_28_22_PHOSPHATEBUFFER_CONTROL,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/28,,
TIME,13:58:08,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [mdeg],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,-0.19391,,
MAXY,6.42178,,
MINY,-3.32288,,
XYDATA,,,
263.3,0.1399541333,208.363,0.149405
263.2,0.8922123333,207.576,0.138123
263.1,0.2297326667,208.987,0.158325
263,-0.1367823333,208.36,0.149356
262.9,0.4399743333,209.511,0.165787
262.8,0.9027663333,207.936,0.143289
262.7,1.41835,207.281,0.133893
262.6,0.6485584667,208.52,0.151641
262.5,0.3564906667,208.359,0.14934
262.4,0.283954,208.636,0.153309
262.3,1.3059,208.825,0.156012
262.2,-0.205483,208.897,0.157031
262.1,1.171084333,208.205,0.147135
262,0.4297056667,209.436,0.164722
261.9,0.7169176667,208.999,0.158486
261.8,-0.5901106667,208.475,0.151009
261.7,1.195217667,209.142,0.160523
261.6,0.358324,208.566,0.152305
261.5,0.462817,208.863,0.156546
261.4,0.9889863333,208.385,0.149713
261.3,0.064864,208.522,0.151673
261.2,1.36269,208.422,0.150248
261.1,-0.544308,209.698,0.168448
261,0.116026,208.65,0.153503
260.9,0.643035,208.895,0.156998
260.8,0.7374173333,208.48,0.151074
260.7,0.1717886667,208.627,0.153179
260.6,-0.2677934333,208.733,0.154685
260.5,0.4682576667,208.717,0.154458
260.4,-0.2554046333,209.217,0.161605
260.3,0.1939833333,209.357,0.163592
260.2,0.1149036667,209.358,0.163608
260.1,-0.4073776667,209.016,0.158729
260,1.079464333,209.329,0.163188
259.9,-0.09416933333,209.006,0.158583
259.8,0.3077413333,209.335,0.163285
259.7,0.5205966667,208.87,0.156643
259.6,1.153122667,209.431,0.164641
259.5,0.3488143333,209.374,0.163834
259.4,0.4840606667,209.144,0.160555
259.3,1.716749,209.655,0.167836
259.2,0.2877207667,208.728,0.15462
259.1,0.539823,209.347,0.163446
259,0.2444773333,209.324,0.163123
258.9,-0.06800266667,209.594,0.166965
258.8,-0.3736363333,209.033,0.158971
258.7,-0.285039,209.415,0.164415
258.6,1.002816333,209.617,0.167303
258.5,0.9660425,209.631,0.167497
258.4,0.5023226333,209.833,0.170366
258.3,0.3697616667,209.858,0.170721
258.2,0.3847144667,210.126,0.174538
258.1,0.3383613333,209.716,0.168706
258,0.45948,209.264,0.162268
257.9,0.2409393333,209.74,0.169045
257.8,0.2413463333,209.817,0.170141
257.7,0.719316,209.772,0.169496
257.6,1.329661667,210.312,0.177177
257.5,0.8705663333,209.983,0.172509
257.4,1.283265733,210.235,0.176083
257.3,0.7271853333,210.34,0.177579
257.2,1.126027333,209.027,0.158891
257.1,1.252472467,210.771,0.183685
257,-0.1801255,210.166,0.175101
256.9,0.4123927667,210.734,0.183155
256.8,0.4492663333,210.336,0.177514
256.7,1.710216667,210.296,0.176951
256.6,0.9498666667,209.931,0.171768
256.5,0.6295723333,210.232,0.176034
256.4,-0.7386186667,209.38,0.163915
256.3,-0.1168247,209.863,0.170801
256.2,0.9162576667,210.368,0.177965
