TITLE,Protein_AMSS
DATA TYPE,
ORIGIN,JASCO
OWNER,
DATE,22/09/27
TIME,14:37:36
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,-0.1
XUNITS,NANOMETERS
YUNITS,CD [mdeg]
Y2UNITS,HT [V]
Y3UNITS,ABSORBANCE
FIRSTX,320
LASTX,190
NPOINTS,1301
FIRSTY,0.0788
MAXY,35.46646
MINY,-73.42445
XYDATA,
200.9,-9554.23895
200.8,19980.83444
200.7,49803.32342
200.6,57186.67901
200.5,110811.2411
200.4,99280.51111
200.3,36793.01825
200.2,42870.54176
200.1,61129.96984
200,33461.77472
199.9,108898.1678
199.8,85090.6214
199.7,99802.73538
199.6,34151.70332
199.5,144361.8777
199.4,111685.0678
199.3,176689.1207
199.2,103309.0337
199.1,76382.6617
199,120585.633
198.9,108680.1183
198.8,98500.68032
198.7,139208.3903
198.6,85009.04224
198.5,36210.70087
198.4,161970.7193
198.3,70545.84989
198.2,169238.4346
198.1,146746.83
198,171358.543
197.9,157587.5636
197.8,134092.4244
197.7,101113.8372
197.6,154371.8924
197.5,166764.1455
197.4,106926.4715
197.3,139893.886
