TITLE,TB TH  KD_ Buffer and Additive,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/29,,
TIME,16:01:55,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [mdeg],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,0.10152,,
MAXY,24.87453,,
MINY,-18.08336,,
XYDATA,,,
275.5,0.6240046667,206.9023333,0.128431
275.4,0.5521316667,207.4653333,0.1365366667
275.3,1.515126667,207.4023333,0.135619
275.2,0.695027,207.2406667,0.1333083333
275.1,1.265376,208.042,0.144801
275,0.2666653333,207.118,0.131533
274.9,0.5740946667,207.4936667,0.136946
274.8,1.164600667,206.9546667,0.1291573333
274.7,0.2997776667,207.212,0.132893
274.6,1.455909333,206.3516667,0.1205123333
274.5,0.244172,206.7663333,0.1264756667
274.4,1.040433,207.584,0.1382303333
274.3,0.5614703333,207.1736667,0.1323483333
274.2,1.114642333,207.4053333,0.1356666667
274.1,0.6769414833,206.9803333,0.1295623333
274,0.7188943333,207.1593333,0.1321266667
273.9,0.1780986667,207.515,0.1372476667
273.8,0.993777,206.506,0.122711
273.7,1.034315833,206.9983333,0.1298146667
273.6,0.1670913333,207.5253333,0.137396
273.5,0.912382,207.697,0.1398563333
273.4,1.033093333,207.703,0.1399486667
273.3,-0.1288447,207.569,0.1380296667
273.2,1.110767667,207.357,0.13498
273.1,1.65617,206.6843333,0.1253013333
273,1.039831333,207.53,0.1374593333
272.9,0.807182,207.4216667,0.1358873333
272.8,0.8572003333,207.145,0.1319176667
272.7,0.1636393333,207.3666667,0.1351143333
272.6,0.7074616667,207.5226667,0.1373296667
272.5,1.336832,207.056,0.1306453333
272.4,0.28117722,208.0156667,0.1444256667
272.3,0.9103826667,207.268,0.1337063333
272.2,1.405019,206.8833333,0.1281456667
272.1,0.683565,206.9946667,0.1297746667
272,1.049086,208.2533333,0.147837
271.9,0.7689863333,207.6003333,0.138437
271.8,0.9338713333,207.6666667,0.139425
271.7,1.186718333,207.2996667,0.1341473333
271.6,1.184699667,207.6546667,0.1392443333
271.5,1.107585,207.379,0.135296
271.4,0.810081,207.1296667,0.131712
271.3,0.1715229,207.237,0.1332553333
271.2,0.9329283333,207.9213333,0.1430736667
271.1,-0.8656903333,207.4413333,0.1361933333
271,0.5620771,208.0176667,0.1444483333
270.9,-0.1097481,206.96,0.1292623333
270.8,0.8700893333,208.1526667,0.146381
270.7,1.277199,207.1303333,0.1317173333
270.6,1.603245667,207.8383333,0.141886
270.5,0.5631903333,206.7956667,0.12691
270.4,1.611834333,207.6246667,0.1388263333
270.3,0.5729506667,207.395,0.1354893333
270.2,0.9106753333,207.5853333,0.1382526667
270.1,-0.5640923333,208.0596667,0.1450443333
270,-0.211749,206.6963333,0.1254543333
269.9,0.5747403333,208.0576667,0.1450246667
269.8,0.2274803333,208.2913333,0.1483733333
269.7,1.072504667,208.0156667,0.1444106667
269.6,0.7226886667,208.2516667,0.1478013333
269.5,1.103327667,208.0243333,0.1445543333
269.4,0.9916760667,206.8086667,0.1270886667
269.3,-0.2561435,208.2463333,0.1477336667
269.2,0.3119916667,207.251,0.1334113333
269.1,1.0457295,207.2433333,0.1333396667
269,1.1604215,208.59,0.152642
268.9,0.073925,208.3403333,0.149071
268.8,0.5982063333,208.3746667,0.1495546667
268.7,0.65958,207.8706667,0.1423453333
268.6,1.454555667,207.9493333,0.1434783333
268.5,1.252565667,208.5033333,0.1514113333
268.4,2.15848,208.436,0.1504343333
268.3,0.599052,208.4673333,0.150885
268.2,1.11232829,207.895,0.142696
268.1,0.2664943333,208.1423333,0.146239
268,0.6826095,207.9096667,0.1429036667
267.9,0.635018,207.4963333,0.1369806667
267.8,1.075023667,208.4336667,0.150414
267.7,1.424251667,208.4916667,0.1512333333
267.6,0.3837353333,208.0196667,0.144489
267.5,-0.389083,208.7423333,0.1548246667
267.4,0.159331,208.8073333,0.1557473333
267.3,1.326002333,208.1166667,0.1458783333
267.2,0.6498463333,208.4706667,0.150937
267.1,0.654876,208.7403333,0.154783
267,0.1183766667,208.3976667,0.149893
266.9,1.389320667,208.5363333,0.1518806667
266.8,0.07106366667,208.508,0.1514713333
266.7,0.2709293333,208.0716667,0.1452353333
266.6,1.764574333,208.5826667,0.152539
266.5,0.4515436667,208.4296667,0.15034
266.4,1.97314,208.539,0.151915
266.3,1.216255667,208.654,0.153549
266.2,0.7964086,208.4133333,0.1501163333
266.1,1.524176667,208.7336667,0.1546983333
266,-0.28526,208.35,0.149208
265.9,-0.068684,208.361,0.1493726667
265.8,0.5652443333,208.4813333,0.1510896667
265.7,0.8358926667,209.1893333,0.1611976667
265.6,0.2588023333,208.7113333,0.154365
265.5,0.9872576667,209.0926667,0.1598163333
265.4,1.084208333,208.617,0.1530283333
265.3,1.044257333,208.5936667,0.1526886667
265.2,0.9104536667,209.2203333,0.1616423333
265.1,0.3770403333,208.499,0.1513483333
265,0.2860836667,208.6846667,0.153999
264.9,0.5734386667,209.0406667,0.159082
264.8,0.01033566667,209.571,0.1666313333
264.7,1.354247667,209.088,0.1597503333
264.6,0.7002732333,208.742,0.1547973333
264.5,0.6489476667,209.5023333,0.165647
264.4,0.8376823333,209.5366667,0.1661506667
264.3,1.013302333,209.3063333,0.1628666667
264.2,0.981949,208.8713333,0.1566486667
264.1,-0.0506618,209.169,0.1609073333
264,1.208673667,208.757,0.1550346667
263.9,1.184227333,208.997,0.1584566667
263.8,-0.357873,209.4856667,0.165423
263.7,0.1844723333,209.4833333,0.165386
263.6,0.2978096667,208.7406667,0.154764
263.5,1.568323333,209.3196667,0.163057
263.4,0.4385056667,209.8706667,0.1708993333
