TITLE,TB_TH_KD_Protein and Additive,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/29,,
TIME,16:59:09,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,θM [deg*cm^2/dmol],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,0.84122,,
MAXY,28.98565,,
MINY,-60.63684,,
XYDATA,,,
278.4,-170367.4564,-68.225646,-2.775977333
278.3,-163386.4402,-68.5553,-2.771803333
278.2,-87371.13694,-68.088271,-2.768719
278.1,144415.795,-68.292946,-2.777625667
278,-58516.15259,-67.44832967,-2.761785
277.9,-137591.5512,-68.054413,-2.770148667
277.8,11996.57279,-68.56505667,-2.772071667
277.7,353252.8684,-68.1272488,-2.773363667
277.6,-386370.2876,-67.944768,-2.772663667
277.5,-389911.3992,-67.77212133,-2.771388333
277.4,-411707.4952,-68.31472633,-2.772657
277.3,-737846.9677,-69.04067633,-2.782777333
277.2,-196451.0505,-67.628974,-2.767103333
277.1,-167429.0419,-68.09034133,-2.773066667
277,-111522.3216,-68.83152133,-2.782504
276.9,-228551.6615,-68.26176467,-2.775592
276.8,-380152.1085,-67.47346467,-2.764951333
276.7,-669182.8342,-67.78998333,-2.763242
276.6,-493222.4706,-69.50683333,-2.786763
276.5,-306207.1673,-68.96953333,-2.779823
276.4,-216527.0451,-67.777258,-2.76619
276.3,-559720.1609,-68.54494233,-2.776928
276.2,-407028.4607,-67.702012,-2.767718667
276.1,-431937.4758,-68.77772,-2.777573667
276,-369986.6786,-67.81475,-2.750068
275.9,187110.8926,-67.63119333,-2.727845
275.8,4268.714052,-69.04385,-2.779758
275.7,-423189.0925,-68.252709,-2.770705333
275.6,-185684.9948,-68.304925,-2.772461667
275.5,-340882.7298,-67.7178296,-2.767650667
275.4,-239127.1048,-68.871139,-2.782739333
275.3,-343181.2696,-68.58931333,-2.778506667
275.2,-80354.93965,-68.26176433,-2.771504
275.1,-183119.8033,-69.1679,-2.782037333
275,58460.88511,-68.39840067,-2.775663333
274.9,-96901.35598,-68.584949,-2.777939
274.8,-511512.1442,-68.04393833,-2.769474
274.7,-45297.49665,-68.57750233,-2.774937
274.6,-751914.4688,-67.335258,-2.762528333
274.5,355494.4122,-67.41609733,-2.764790667
274.4,-461265.4448,-68.43783233,-2.775477333
274.3,-140314.8562,-68.31557,-2.772648667
274.2,-493465.862,-68.54207667,-2.778312667
274.1,-491829.9285,-68.56617667,-2.773908333
274,-291051.7062,-68.20865467,-2.773529333
273.9,250032.037,-68.52813867,-2.783281667
273.8,-58618.68574,-67.32541787,-2.761307
273.7,-402533.08,-68.19412133,-2.773295667
273.6,-234168.2313,-68.20436,-2.775851333
273.5,-79733.10982,-68.745902,-2.781439333
273.4,-604829.2505,-68.42955733,-2.781616
273.3,493255.2675,-68.773358,-2.778484667
273.2,-463268.8273,-68.452266,-2.776398
273.1,-1000621.219,-68.24827,-2.766883
273,-551672.2098,-68.585944,-2.776285
272.9,-163365.8173,-68.76316,-2.775686667
272.8,-394828.9525,-68.053525,-2.775584333
272.7,373085.2332,-67.672822,-2.769334
272.6,-434303.159,-68.436823,-2.774873667
272.5,-319387.7217,-67.22370333,-2.745229333
272.4,24942.19043,-69.37828933,-2.788363333
272.3,-609186.47,-67.77156567,-2.768664333
272.2,-381842.0504,-67.85953667,-2.768073667
272.1,-187585.5908,-68.12922533,-2.770582333
272,-584294.591,-69.352266,-2.789312333
271.9,-436435.1065,-68.58165667,-2.773518
271.8,-230269.7512,-68.89665333,-2.783352
271.7,-275928.0286,-68.242728,-2.770376
271.6,-454851.885,-68.906841,-2.779992667
271.5,-495587.0079,-68.52153667,-2.773505
271.4,-409351.2144,-67.88421467,-2.770541
271.3,75030.56176,-68.47450533,-2.776395
271.2,-419528.9823,-68.59131267,-2.781243
271.1,185881.5378,-67.60025667,-2.706777667
271,86596.58769,-69.31867933,-2.788230333
270.9,-39863.90702,-68.29243433,-2.774825333
270.8,-279768.5889,-69.118707,-2.785738
270.7,-583348.115,-68.67985567,-2.777612
270.6,-476483.2365,-68.179096,-2.775731333
270.5,81598.86753,-67.44826867,-2.762169333
270.4,-832795.4254,-68.18784567,-2.775419333
270.3,-375829.3846,-67.90876233,-2.769030667
270.2,-532253.3155,-68.37424481,-2.77667
270.1,-19911.65251,-68.80114233,-2.780655333
270,84516.61451,-67.885317,-2.765859667
269.9,-139463.7163,-68.79236433,-2.780514
269.8,-256030.2488,-69.127613,-2.785562
269.7,-642961.1086,-68.80524867,-2.780408333
269.6,-273178.7066,-68.67444267,-2.77952
269.5,-304972.4929,-68.78301233,-2.779258333
269.4,-358727.6412,-67.56189867,-2.762855333
269.3,356318.5069,-68.50234933,-2.779518
269.2,-38382.05931,-67.60254767,-2.763736667
269.1,-274002.1308,-67.52293633,-2.760634667
269,-471763.7461,-69.765173,-2.792209333
268.9,-44720.45895,-68.67539883,-2.780961667
268.8,-262269.5574,-69.216671,-2.791729667
