TITLE,CC.SJ.9_28_22_ADDITIVE_KCL_PROTEIN,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/28,,
TIME,14:21:11,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [mdeg],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,1.05716,,
MAXY,63.3399,,
MINY,-41.84982,,
XYDATA,,,
270.2,-0.3369269,207.735,0.140414
270.1,0.9297943333,208.967,0.158034
270,1.181247,208.135,0.146145
269.9,1.041577667,208.02,0.14449
269.8,0.4070023333,207.672,0.139504
269.7,1.315393333,208.037,0.144734
269.6,0.3666626667,207.682,0.13965
269.5,1.063,207.927,0.143159
269.4,0.4923223333,207.903,0.142818
269.3,0.3316433667,207.681,0.139634
269.2,0.5079503333,207.976,0.143857
269.1,1.390311,207.936,0.143289
269,1.163097,207.7,0.139911
268.9,0.2962133333,208.987,0.158325
268.8,0.672101,208.399,0.149923
268.7,0.891201,208.198,0.147037
268.6,0.6860263333,208.345,0.149145
268.5,0.3994992333,208.27,0.148075
268.4,1.003806667,207.464,0.136512
268.3,0.462971,208.58,0.152499
268.2,0.152745,207.665,0.139407
268.1,-0.44238,208.312,0.148675
268,0.808668,208.215,0.147281
267.9,0.3464883333,208.361,0.149372
267.8,0.339404,208.344,0.149129
267.7,0.5021083333,208.932,0.157532
267.6,-0.185531,208.566,0.152305
267.5,1.432463667,208.112,0.145805
267.4,0.689547,207.994,0.144117
267.3,0.7306073333,208.41,0.150069
267.2,1.619431,209.191,0.161234
267.1,0.991573,207.799,0.141324
267,1.445603333,208.177,0.146746
266.9,-0.1794036667,209.432,0.164657
266.8,0.7327690667,208.846,0.156303
266.7,-0.3084083333,208.419,0.150199
266.6,1.551832333,208.554,0.152127
266.5,0.9865696667,208.875,0.156724
266.4,1.009197787,208.711,0.154377
266.3,0.8944960333,208.618,0.15305
266.2,1.474942333,208.168,0.146616
266.1,0.5089166667,208.438,0.150474
266,0.9017053333,208.82,0.155931
265.9,0.596506,209.35,0.163495
265.8,0.2001432667,208.971,0.158082
265.7,0.535581,209.398,0.164173
265.6,0.401392,209.46,0.165061
265.5,0.06575,209.185,0.161137
265.4,0.3471896667,207.552,0.137781
265.3,1.087474667,208.286,0.148302
265.2,0.7896366667,208.673,0.153827
265.1,0.7655569,209.415,0.164415
265,0.658749,208.351,0.149226
264.9,0.3961886667,209.309,0.162914
264.8,0.433719,208.994,0.158422
264.7,0.3225656667,209.137,0.160458
264.6,0.8729363333,208.816,0.155882
264.5,1.904423333,208.27,0.148075
264.4,0.47583,208.748,0.154912
264.3,-0.006515,208.888,0.156901
264.2,0.3586786,208.961,0.157953
264.1,0.6187088333,209.484,0.165399
264,0.8665273333,208.83,0.156077
263.9,0.593336,209.423,0.164528
263.8,0.207825,209.099,0.159909
263.7,0.8281953333,208.944,0.15771
263.6,0.5986083333,209.534,0.166109
263.5,-0.4759923333,208.855,0.156432
263.4,-0.1999633333,209.477,0.165303
263.3,0.6273726667,209.156,0.160733
263.2,-0.576431,209.568,0.166593
263.1,1.118393,209.889,0.171172
263,-0.3435166667,209.864,0.170818
262.9,0.02192896667,209.678,0.168158
262.8,0.594762,209.542,0.166223
262.7,-0.237912,211.066,0.187857
262.6,0.4091036667,210.051,0.173475
262.5,1.342504667,210.477,0.179524
262.4,1.181695667,209.866,0.170834
262.3,0.640272,210.148,0.174844
262.2,0.4059313333,209.471,0.165222
262.1,0.2982223333,210.161,0.175037
262,0.37616747,209.834,0.170382
261.9,0.349364,209.548,0.166319
261.8,0.651105,209.65,0.167771
261.7,1.332281667,209.597,0.167013
261.6,0.1690283333,209.712,0.168642
261.5,0.8142323333,209.901,0.171333
261.4,0.44263,209.517,0.165867
261.3,1.033086667,209.753,0.169238
261.2,1.000047667,210.562,0.18073
261.1,0.800709,210.377,0.178093
261,1.225016333,209.862,0.170785
260.9,1.095287333,209.792,0.169786
260.8,0.6996546667,209.619,0.167319
260.7,0.627466,210.621,0.181565
260.6,0.5168623333,210.016,0.172976
260.5,1.040985667,209.687,0.168287
260.4,1.100593333,209.452,0.164948
260.3,0.904498,209.972,0.172348
260.2,-0.2017098667,210.507,0.179942
260.1,1.253578,210.186,0.175391
260,0.428286,210.369,0.177981
259.9,0.4698266667,210.694,0.182593
259.8,0.1597156667,209.887,0.17114
259.7,1.140044,209.705,0.168545
259.6,1.059116667,210.244,0.176211
259.5,0.437328,209.91,0.171462
259.4,0.5922111667,211.086,0.188146
259.3,0.6204202333,210.245,0.176228
259.2,0.5902156667,210.369,0.177981
259.1,0.3473766667,209.835,0.170398
259,1.470297,209.88,0.171043
258.9,-0.258512,210.161,0.175037
258.8,0.7033891,210.788,0.183926
258.7,1.017742667,210.027,0.173121
258.6,0.2920206667,211.053,0.187681
258.5,-0.5329593333,211.078,0.188034
258.4,-0.4344435167,210.773,0.183717
258.3,0.6315763333,210.261,0.176453
258.2,0.13589,211.89,0.199514
258.1,0.060213,210.951,0.186237
258,0.04949166667,211.034,0.187408
257.9,0.4534492,211.118,0.188595
257.8,0.5908793333,210.839,0.184648
257.7,0.8999746667,210.752,0.183412
257.6,1.759293333,211.991,0.200936
257.5,0.6389446667,210.906,0.185595
257.4,1.594003333,210.593,0.181163
257.3,0.8131009667,210.758,0.183508
257.2,0.8161666667,211.111,0.188499
257.1,1.68803,211.126,0.188707
257,0.637264,210.925,0.185868
256.9,1.280686667,210.752,0.183412
256.8,0.3308323333,211.611,0.195563
256.7,0.301141,211.859,0.199066
256.6,0.2960843333,212.115,0.202678
256.5,-0.8025043333,211.367,0.192121
256.4,0.4671646667,210.684,0.182448
256.3,0.8295996667,211.102,0.18837
256.2,0.8594133333,211.548,0.194683
256.1,1.240712333,211.102,0.18837
256,1.177056,210.89,0.185371
255.9,-0.732466,210.977,0.186606
255.8,1.576383333,210.754,0.183444
255.7,-0.09315803333,211.144,0.188963
255.6,-0.1813723333,211.493,0.193898
255.5,1.169336667,211.365,0.192088
