TITLE,TB_TH_KD_Protein and Additive,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/29,,
TIME,16:59:09,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,θM [deg*cm^2/dmol],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,0.84122,,
MAXY,28.98565,,
MINY,-60.63684,,
XYDATA,,,
265.1,132153.4794,139.9642043,0.1753306667
265,517326.0319,140.3151267,0.1753103333
264.9,144421.6957,140.2599593,0.1755396667
264.8,208666.2196,140.0439453,0.1776436667
264.7,74462.52421,140.1517923,0.1761356667
264.6,56549.2475,140.2644583,0.1765543333
264.5,174828.6395,140.4930043,0.1775073333
264.4,488829.2356,140.573634,0.1840646667
264.3,189050.231,140.1985087,0.1772116667
264.2,278377.0675,140.3957933,0.1802193333
264.1,-63822.23216,140.5618467,0.1813266667
264,214811.9356,140.270672,0.1768386667
263.9,723027.1197,140.642584,0.1837716667
263.8,134767.9928,140.608772,0.1867436667
