TITLE,Protein_AMSS,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/27,,
TIME,14:37:36,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,MOLAR ELLIPTICITY,,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,0.0788,,
MAXY,35.46646,,
MINY,-73.42445,,
XYDATA,,,
272.3,558.7256914,257.507,0.792444
272.2,12196.31155,258.159,0.800274
272.1,12669.43226,258.227,0.801089
272,4036.980897,258.312,0.802107
271.9,12709.36919,257.926,0.797476
271.8,6845.227788,257.86,0.796687
271.7,929.8532254,257.996,0.798318
271.6,-6686.424792,257.563,0.793125
271.5,533.2703679,257.487,0.792213
271.4,1233.79499,257.917,0.797367
271.3,12511.64318,257.766,0.795559
271.2,10038.91917,257.502,0.79239
271.1,9686.53652,257.368,0.790784
271,11580.13666,257.782,0.79575
270.9,6579.564453,257.84,0.796443
270.8,5170.800584,257.713,0.79492
270.7,-4289.017323,257.107,0.787637
270.6,3835.353927,257.891,0.797054
270.5,-2124.724526,258.124,0.799853
270.4,2097.127382,257.696,0.794716
270.3,1455.535623,257.871,0.796823
270.2,8042.954925,257.667,0.794376
270.1,2210.641614,257.828,0.796307
270,4172.70538,257.329,0.790307
269.9,-6174.934501,258.365,0.802745
269.8,14938.93889,257.619,0.793791
269.7,215.2020865,257.798,0.79594
269.6,8826.718794,257.745,0.795301
269.5,-16359.39343,257.576,0.793274
269.4,-1342.817505,257.467,0.791968
269.3,3807.60525,257.494,0.792295
269.2,6815.712052,257.773,0.795641
269.1,-2133.977779,257.529,0.792716
269,3477.981993,256.834,0.784352
268.9,-4451.264194,257.418,0.791383
268.8,5322.215317,257.586,0.793397
268.7,-2049.116222,257.398,0.791138
268.6,7484.328748,257.303,0.789994
268.5,4715.793745,258.509,0.804468
268.4,8892.448035,258.263,0.801523
268.3,6344.212968,258.464,0.803925
268.2,3232.536585,257.827,0.796293
268.1,5282.399165,258.054,0.799011
268,4811.171483,257.956,0.797843
267.9,-3777.124451,257.071,0.787215
267.8,-2219.05284,258.697,0.806719
267.7,1483.956022,257.873,0.796837
267.6,7511.738172,257.869,0.796796
267.5,75.24191039,258.183,0.800559
267.4,-4851.06996,257.964,0.797938
267.3,-1819.068401,257.818,0.796184
267.2,-394.2668867,258.1,0.799568
267.1,-2242.398007,257.606,0.793642
267,5975.347124,257.638,0.794022
266.9,4683.222013,257.662,0.794308
266.8,-1185.808708,258.055,0.799025
266.7,2332.655279,257.858,0.79666
266.6,12221.06574,257.819,0.796198
266.5,9021.83481,258.237,0.801211
266.4,3251.338016,257.84,0.796443
266.3,3512.990696,257.318,0.790185
266.2,-8062.844003,258.472,0.80402
266.1,5844.369929,257.609,0.793669
266,2878.986908,258.185,0.800586
265.9,6550.709809,257.995,0.798305
